"HHSize" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
3 NA 1 2 1 45 1
1 2 2 1 NA 24 1
3 2 2 1 5 28 1
1 1 1 1 1 32 1
1 NA 1 1 1 58 1
2 1 1 1 NA 67 1
1 1 2 NA 1 63 1
1 NA 2 1 1 84 1
1 1 1 1 1 89 1
1 2 2 1 NA 31 1
1 NA 1 1 1 20 1
1 1 1 NA NA 73 1
1 1 2 1 1 57 1
2 2 2 1 1 24 1
1 NA 2 1 1 63 1
3 NA 1 1 3 43 1
1 1 1 NA NA 51 1
4 1 1 8 NA 37 1
1 NA 2 1 1 54 1
1 NA 1 1 NA 23 1
1 1 1 8 2 21 1
2 1 1 NA 1 56 1
2 NA 2 NA 1 56 1
4 1 2 8 1 50 1
1 1 1 1 2 56 1
1 1 1 1 NA 63 1
4 1 2 1 NA 36 1
1 1 1 1 1 63 1
2 1 2 NA 1 31 1
4 1 1 1 1 51 1
1 1 2 NA 1 69 1
1 NA 1 NA 1 64 1
2 1 1 NA NA 20 1
2 1 2 NA 1 66 1
1 1 1 1 1 50 1
3 1 1 1 1 38 1
3 1 1 1 1 38 1
2 NA 2 2 1 41 1
2 1 2 NA 1 31 1
4 1 1 1 NA 63 1
1 NA 1 1 NA 27 1
1 1 2 1 1 17 1
1 2 1 NA 1 36 1
1 1 1 NA 1 39 1
1 1 2 1 1 71 1
1 1 2 2 NA 54 1
3 1 1 NA 1 55 1
5 1 1 1 1 43 1
4 NA 1 NA 1 48 1
3 2 1 NA NA 22 1
2 1 1 NA 1 58 1
2 1 1 1 1 73 1
2 2 1 1 1 47 1
1 1 1 1 1 57 1
1 2 1 2 1 40 1
3 NA 2 1 NA 48 1
1 NA 1 1 NA 66 1
2 1 1 NA 1 68 1
1 1 2 1 1 90 1
2 NA 1 1 1 40 1
1 1 2 1 1 48 1
2 1 1 1 1 51 1
1 NA 1 1 NA 72 1
5 1 2 1 2 34 1
1 NA 1 1 1 91 1
2 2 2 1 1 25 1
3 NA 1 1 1 37 1
1 1 1 NA 1 60 1
1 NA 2 7 5 62 1
1 NA 2 NA 1 50 1
2 1 1 1 1 41 1
1 NA 1 1 1 71 1
1 1 2 1 1 87 1
2 1 1 NA 1 60 1
1 1 1 NA 1 61 1
3 1 2 2 1 53 1
1 NA 2 NA 1 54 1
2 2 1 NA NA 35 1
5 1 1 3 NA 36 1
2 1 1 NA 1 78 1
1 1 1 1 NA 49 1
1 1 2 1 1 74 1
5 1 2 1 1 42 1
3 1 1 1 1 49 1
1 NA 1 NA NA 44 1
1 1 2 1 1 22 1
1 1 1 NA 1 79 1
1 1 2 1 NA 65 1
3 NA 1 NA 5 70 1
1 NA 2 NA 1 53 1
1 NA 2 1 1 58 1
1 1 1 1 1 86 1
1 NA 1 1 1 20 1
1 1 1 1 NA 60 1
2 NA 2 NA 1 37 1
5 2 2 1 NA 47 1
3 1 1 NA 1 48 1
1 NA 1 1 1 73 1
3 NA 2 NA NA 67 1
3 NA 1 NA 1 37 1
3 NA 1 1 NA 39 1
1 1 2 2 1 75 1
2 2 2 NA 2 57 1
3 1 2 7 2 59 1
1 1 1 1 NA 60 1
1 1 1 NA 1 35 1
1 NA 1 1 NA 80 1
3 NA 1 NA NA 20 1
1 1 2 1 1 66 1
4 1 1 NA NA 30 1
3 1 1 NA NA 38 1
3 2 2 NA 1 65 1
4 1 1 1 NA 33 1
3 1 1 1 1 54 1
4 1 1 1 NA 74 1
1 1 2 NA 1 71 1
1 NA 1 1 NA 57 1
3 NA 2 NA NA 22 1
3 NA 1 NA 1 21 1
1 2 2 NA NA 24 1
1 NA 1 1 1 30 1
1 1 2 1 1 72 1
1 NA 1 NA 1 42 1
1 NA 1 1 1 50 1
2 1 1 1 NA 75 1
1 1 1 NA 1 70 1
1 1 2 NA NA 37 1
2 2 1 1 1 95 1
3 2 1 NA 1 53 1
3 NA 2 7 2 25 1
2 1 1 NA 1 38 1
5 NA 1 1 1 38 1
1 1 1 NA NA 31 1
4 1 1 NA 1 36 1
2 1 2 1 1 59 1
2 NA 1 NA NA 18 1
1 NA 1 NA NA 48 1
2 1 1 1 5 47 1
2 NA 2 1 NA 36 1
4 2 1 NA 1 28 1
3 1 1 1 1 39 1
2 NA 1 NA 1 94 1
4 1 1 1 1 47 1
1 2 2 1 2 48 1
1 NA 2 1 1 73 1
2 1 2 NA NA 77 1
2 2 1 1 1 56 1
1 1 2 NA 1 34 1
1 1 1 1 1 68 1
1 1 1 1 1 49 1
3 NA 2 1 5 57 1
1 2 1 7 3 65 1
2 1 2 1 5 44 1
1 1 1 1 1 77 1
1 NA 1 NA NA 87 1
2 NA 1 8 NA 26 1
3 2 1 1 3 40 1
1 1 1 2 1 93 1
1 NA 2 NA NA 84 1
3 2 1 4 1 47 1
2 1 2 2 1 39 1
1 NA 1 2 1 65 1
3 2 2 1 1 22 1
3 1 1 1 1 41 1
2 1 2 1 1 50 1
2 1 1 2 1 33 1
