"Gender" "Race" "Hisp" "Age" "Relate"
2 1 1 57 2
1 6 1 12 2
2 1 1 67 2
1 3 1 49 12
2 1 1 40 9
1 1 1 44 9
1 2 1 36 7
1 2 1 56 8
2 1 1 30 2
1 1 1 38 5
2 1 1 80 8
1 1 1 57 7
1 1 1 26 2
2 1 1 1 3
1 1 1 67 2
2 1 1 62 2
2 1 1 37 2
2 1 1 6 3
2 1 1 1 3
2 3 1 54 2
2 1 1 82 8
2 1 1 32 2
2 1 1 3 3
1 1 1 1 3
2 1 1 22 2
1 1 1 1 3
1 6 1 40 2
1 6 1 5 9
1 1 1 54 2
1 1 1 12 3
1 1 1 10 3
2 1 1 39 2
1 1 1 70 2
1 1 1 35 2
2 1 1 10 3
2 1 1 61 2
1 1 1 65 2
1 8 1 17 12
1 8 1 71 5
2 1 1 40 8
2 1 1 73 2
2 1 1 60 7
1 1 1 30 12
2 1 1 67 5
1 1 1 47 2
1 2 1 50 3
1 2 1 25 3
1 1 1 52 9
1 1 1 21 3
1 1 1 12 4
2 1 1 83 8
1 1 1 34 2
1 1 2 37 7
1 1 2 22 4
2 1 1 42 2
1 1 1 16 3
1 1 1 7 3
2 1 1 62 2
2 1 2 47 2
2 1 2 20 3
1 1 2 18 3
2 1 1 60 2
2 3 1 3 3
2 3 1 1 3
1 1 1 72 2
1 1 1 65 4
2 1 1 14 3
1 7 3 44 9
1 7 3 36 11
2 2 1 59 2
1 1 1 48 2
1 1 1 17 3
2 1 1 16 3
2 1 1 75 2
2 4 1 65 2
1 1 1 54 8
1 1 1 16 3
1 1 1 25 3
2 1 1 66 7
1 1 1 80 2
1 1 1 6 2
2 1 1 70 2
1 1 1 62 12
1 1 1 50 2
1 1 1 24 3
2 1 2 58 2
2 1 1 54 2
2 1 1 12 4
2 1 1 12 13
2 1 1 69 2
1 1 1 25 9
1 1 1 90 9
1 1 1 58 3
1 1 1 11 8
2 1 1 53 2
2 1 1 27 3
2 1 1 56 2
2 1 1 18 3
2 1 1 16 3
2 1 1 55 2
2 1 1 33 3
1 1 1 91 4
2 1 1 14 10
1 1 1 10 3
1 1 1 3 3
2 1 1 54 2
2 1 1 49 7
2 2 1 41 11
1 2 1 28 6
2 2 1 81 5
1 1 1 57 4
1 1 1 87 2
2 8 1 26 6
1 1 1 70 2
1 1 1 52 5
1 1 1 32 11
1 2 1 38 3
1 1 1 76 2
1 1 1 13 6
2 2 1 73 2
2 2 1 41 3
1 2 1 35 3
1 1 1 52 2
2 1 1 46 5
1 1 1 45 8
2 1 1 70 2
1 1 1 40 3
2 1 1 42 2
1 1 1 23 12
2 1 1 26 8
1 1 1 41 2
1 2 1 59 2
1 2 1 50 5
2 1 1 28 12
1 1 1 15 3
1 1 1 12 3
1 3 1 38 12
1 1 1 86 4
2 1 1 29 11
1 1 1 93 8
1 1 1 54 3
1 1 1 3 13
1 1 1 12 6
1 1 1 10 4
1 3 1 49 2
1 1 2 46 2
1 1 1 90 4
2 8 2 82 4
1 1 1 93 5
1 1 1 70 2
2 1 1 46 2
2 1 1 20 9
2 1 1 65 2
1 1 1 36 3
2 6 1 40 10
2 1 1 55 5
2 1 1 48 9
1 1 1 42 4
2 4 1 48 2
1 4 1 25 3
2 4 1 20 3
1 1 1 50 2
2 1 1 28 12
2 1 1 32 2
2 1 1 59 2
2 1 1 50 2
1 1 1 53 3
