"Pop. Truth" "Orig. Data Q" "Model Q" "Weighted Sampler Q" "Orig. Data L" "Orig. Data U" "Model L" "Model U" "Weighted Sampler L" "Weighted Sampler U" "Model M.Frac" "Weighted Sampler M.Frac" "Model RE" "Weighted Sampler RE"
"Same race household, $n_i = 2$" 0.941926116737896 0.946787800129786 0.923685918234912 0.91740428293316 0.935581075385292 0.957994524874279 0.908912368758723 0.938459467711102 0.900773208983128 0.934035356883193 0.19475339144696 0.316679644364604 0.996120044859506 0.993706269042336
"Same race household, $n_i = 3$" 0.907756356524169 0.887301587301587 0.86015873015873 0.851936507936508 0.862608673228576 0.911994501374598 0.830288320473384 0.890029139844077 0.820108547500656 0.88376446837236 0.17801746780239 0.240720922331489 0.996452281760302 0.995208649121424
"Same race household, $n_i = 4$" 0.901040239021983 0.914285714285714 0.872495238095238 0.860571428571429 0.890339547034889 0.938231881536539 0.839419624409575 0.905570851780901 0.82681071667585 0.894332140467007 0.255979913774107 0.229780920909513 0.994906478508363 0.995425404676335
"Same race household, $n_i = 5$" 0.886625912770401 0.89047619047619 0.831904761904762 0.828857142857143 0.84823813948034 0.93271424147204 0.771668188438794 0.89214133537073 0.769576468095178 0.888137817619107 0.295810622326375 0.262354761573089 0.994118583264367 0.994780293067891
"Same race household, $n_i = 6$" 0.870672581795136 0.840425531914894 0.783829787234043 0.746595744680851 0.766394213151556 0.914456850678232 0.692596709844702 0.875062864623383 0.647008685536672 0.84618280382503 0.169597478351038 0.222339495568436 0.996619516861298 0.995572896487866
"Spouse present" 0.704479166913874 0.703333333333333 0.70018 0.700473333333333 0.686987674129988 0.719678992536679 0.681864154655646 0.718495845344354 0.682274493761969 0.718672172904697 0.198499759848209 0.18863771944898 0.996045703341776 0.996241425788374
"Black HH, own" 0.051963462300622 0.046 0.0461266666666667 0.0457266666666667 0.0385038103259647 0.0534961896740353 0.0379363904970954 0.0543169428362379 0.0375396594604255 0.0539136738729078 0.159980571283311 0.166238184768093 0.996810593436017 0.996686253727939
"Spouse present, HH is White" 0.599481931685229 0.607666666666667 0.604673333333333 0.60398 0.590194459329534 0.6251388740038 0.585378372937426 0.623968293729241 0.584899244711356 0.623060755288644 0.177659828279023 0.158622582061392 0.996459383939247 0.996837580980182
"Spouse present, HH is Black" 0.0411915333920303 0.035 0.03544 0.0353266666666667 0.0284236466115599 0.0415763533884401 0.028005933961896 0.042874066038104 0.0280664418810805 0.0425868914522528 0.207736829723223 0.171983655616385 0.995862453820061 0.996572117682313
"White couple" 0.57892769588939 0.589666666666667 0.58268 0.580886666666667 0.572064782776711 0.607268550556622 0.563149178565259 0.602210821434741 0.561496604848156 0.600276728485178 0.183554142497819 0.17068559221953 0.996342344705666 0.996597901938059
"Non-White couple, own" 0.0629418591129474 0.056 0.0475933333333333 0.0480466666666667 0.0477725078933052 0.0642274921066948 0.0391219277093955 0.0560647389572712 0.0394442771337664 0.0566490561995669 0.191024093709204 0.208336081767212 0.996194058655736 0.99585056789319
"Same race couple" 0.662953013126138 0.662 0.647646666666667 0.643366666666667 0.645073202115351 0.678926797884649 0.628225812022752 0.667067521310581 0.624324976812787 0.662408356520546 0.224997092513376 0.189513704935406 0.995520216913125 0.996224037832892
"White-nonwhite couple" 0.0354638289591407 0.033 0.04118 0.0430266666666667 0.026607692320005 0.039392307679995 0.0324839751161264 0.0498760248838736 0.0338896240792263 0.0521637092541071 0.330884183948136 0.367830079475376 0.993425822150495 0.99269712276874
"Only one parent" 0.0230389702235312 0.0203333333333333 0.02384 0.02334 0.0152828735232609 0.0253837931434057 0.017697013576972 0.029982986423028 0.0171198347933528 0.0295601652066472 0.210102631436337 0.245264089000943 0.995815530731363 0.995118662555609
"At least one biological child present" 0.490339912618986 0.491 0.500073333333333 0.498073333333333 0.473110957292157 0.508889042707843 0.480970637601898 0.519176029064768 0.479030091294713 0.517116575371954 0.12267176862029 0.117206118944513 0.99755256924079 0.99766135968022
"One grandchild present" 0.0316951964174259 0.0266666666666667 0.0302933333333333 0.0307933333333333 0.0209016226415412 0.0324317106917922 0.0228747346170621 0.0377119320496046 0.0237954873857825 0.0377911792808842 0.316040155110783 0.219344035944704 0.993718898503608 0.995632279947988
"At least three generations present" 0.0407275739072034 0.039 0.0396133333333333 0.0389466666666667 0.0320724214153189 0.0459275785846811 0.0317631488022957 0.047463517864371 0.031360319235662 0.0465330140976713 0.209268261369418 0.167080134868572 0.995832079044051 0.99666952642212
"Couples with age difference less than 5" 0.493786977333621 0.49 0.423873333333333 0.421933333333333 0.472111637309026 0.507888362690974 0.405388569505893 0.442358097160773 0.403253860774239 0.440612805892428 0.0848020420537709 0.104857750662454 0.998306830842966 0.997907233841791
"HH older than spouse, White HH" 0.320027623981603 0.335 0.326826666666667 0.327866666666667 0.318110348446656 0.351889651553344 0.308321660865688 0.345331672467646 0.309130249955787 0.346603083377546 0.177136660777563 0.195985752440512 0.996469773435358 0.996095589129237
"White HH with Hispanic origin" 0.075604037278136 0.068 0.06456 0.0645666666666667 0.0589915540700165 0.0770084459299835 0.0551873835640636 0.0739326164359364 0.0547211441720722 0.0744121891612612 0.119626429297643 0.201940308792189 0.997613181944474 0.995977440163666
"Only one adult female in house with at least one child less than 5" 0.0934362192167035 0.0883333333333333 0.0880666666666667 0.0876666666666667 0.0781786166464223 0.0984880500202444 0.0773882257907026 0.0987451075426308 0.0768409051331589 0.0984924282001744 0.0981079958219955 0.126053072537185 0.998041682615436 0.99748527831715
