"Pop. Truth" "Orig. Data Q" "Model Q" "Weighted Sampler Q" "Orig. Data L" "Orig. Data U" "Model L" "Model U" "Weighted Sampler L" "Weighted Sampler U" "Model M.Frac" "Weighted Sampler M.Frac" "Model RE" "Weighted Sampler RE"
"Same race household, $n_i = 2$" 0.941926116737896 0.946787800129786 0.917274497079818 0.914211550940947 0.935581075385292 0.957994524874279 0.900974335758004 0.933574658401633 0.897212160456961 0.931210941424934 0.287720424930007 0.323033086607335 0.994278515261802 0.993580810479937
"Same race household, $n_i = 3$" 0.907756356524169 0.887301587301587 0.855555555555556 0.857079365079365 0.862608673228576 0.911994501374598 0.823527345627761 0.88758376548335 0.825569501928081 0.88858922823065 0.265374631905661 0.247698946132422 0.994720528120023 0.995070442003763
"Same race household, $n_i = 4$" 0.901040239021983 0.914285714285714 0.845866666666667 0.860190476190476 0.890339547034889 0.938231881536539 0.808724026781818 0.883009306551515 0.824539925436912 0.89584102694404 0.308492092735559 0.307623264684087 0.993867991666955 0.993885156071366
"Same race household, $n_i = 5$" 0.886625912770401 0.89047619047619 0.789809523809524 0.807238095238095 0.84823813948034 0.93271424147204 0.726031897440609 0.853587150178438 0.74248300907072 0.87199318140547 0.254157576621797 0.322028538057151 0.994942556220661 0.99360064473924
"Same race household, $n_i = 6$" 0.870672581795136 0.840425531914894 0.706170212765957 0.732765957446809 0.766394213151556 0.914456850678232 0.600698528115996 0.811641897415919 0.621621446463853 0.843910468429764 0.239793318533535 0.355054141988391 0.995227024183536 0.992948986987737
"Spouse present" 0.704479166913874 0.703333333333333 0.699233333333333 0.698033333333333 0.686987674129988 0.719678992536679 0.680924015512807 0.71754265115386 0.679921507083498 0.716145159583168 0.196488218951531 0.177052059873144 0.996085618219058 0.996471453530951
"Black HH, own" 0.051963462300622 0.046 0.04358 0.04382 0.0385038103259647 0.0534961896740353 0.0355525918314315 0.0516074081685685 0.0358343242362746 0.0518056757637253 0.17159849901227 0.158544982676255 0.99657976815278 0.996839123169721
"Spouse present, HH is White" 0.599481931685229 0.607666666666667 0.60352 0.603953333333333 0.590194459329534 0.6251388740038 0.584005082926066 0.623034917073934 0.585126664761177 0.622780001905489 0.195246773894803 0.135779806620748 0.996110253730312 0.997291758358113
"Spouse present, HH is Black" 0.0411915333920303 0.035 0.03646 0.0362866666666667 0.0284236466115599 0.0415763533884401 0.0291761829514201 0.0437438170485799 0.029067768385359 0.0435055649479744 0.151983579828297 0.140632745238074 0.996969540006601 0.99719523393427
"White couple" 0.57892769588939 0.589666666666667 0.580013333333333 0.578526666666667 0.572064782776711 0.607268550556622 0.56042355864619 0.599603108020476 0.55889047021461 0.598162863118723 0.187005222648617 0.19005493707394 0.996273831805285 0.996213294898517
"Non-White couple, own" 0.0629418591129474 0.056 0.0481466666666667 0.0472266666666667 0.0477725078933052 0.0642274921066948 0.0396398574897737 0.0566534758435596 0.0387620107383137 0.0556913225950196 0.188892734335781 0.195655727481061 0.996236363784002 0.996102138229984
"Same race couple" 0.662953013126138 0.662 0.64098 0.640233333333333 0.645073202115351 0.678926797884649 0.621535978661519 0.660424021338481 0.620348766360476 0.66011790030619 0.220335613668691 0.253730980182693 0.99561262164069 0.994951002139866
