"Pop. Truth" "Orig. Data Q" "Model Q" "Weighted Sampler Q" "Orig. Data L" "Orig. Data U" "Model L" "Model U" "Weighted Sampler L" "Weighted Sampler U" "Model M.Frac" "Weighted Sampler M.Frac" "Model RE" "Weighted Sampler RE"
"Same race household, $n_i = 2$" 0.941926116737896 0.946684894053315 0.910348598769651 0.907231715652768 0.935172814293743 0.958196973812887 0.890043402618534 0.930653794920769 0.886410606958699 0.928052824346838 0.479483672843469 0.489467799829638 0.990501414872803 0.9903055464603
"Same race household, $n_i = 3$" 0.907756356524169 0.928571428571429 0.871854103343465 0.868115501519757 0.908893526964521 0.948249330178336 0.842722622606072 0.900985584080858 0.833762726592428 0.902468276447086 0.231393362107963 0.433289740005178 0.995393451253882 0.991408656023851
"Same race household, $n_i = 4$" 0.901040239021983 0.893309222423146 0.822748643761302 0.818481012658228 0.867578624739419 0.919039820106874 0.784377375776187 0.861119911746417 0.777251553767657 0.859710471548799 0.311913000576512 0.392714522576192 0.993800414614071 0.992206918672733
"Same race household, $n_i = 5$" 0.886625912770401 0.903083700440529 0.820881057268723 0.812775330396476 0.864598161190278 0.941569239690779 0.759513418284747 0.882248696252698 0.750029319593532 0.87552134119942 0.340042423026141 0.346682237800111 0.993245090654302 0.993114099630982
"Same race household, $n_i = 6$" 0.870672581795136 0.888888888888889 0.798989898989899 0.803636363636364 0.826982855476276 0.950794922301502 0.703725100608938 0.89425469737086 0.706523513961375 0.900749213311352 0.31575161770691 0.353401259591188 0.993724597018724 0.992981581169278
"Spouse present" 0.704479166913874 0.707333333333333 0.701813333333333 0.69856 0.691052142877068 0.723614523789599 0.683294361554528 0.720332305112139 0.676933901358875 0.720186098641125 0.21839004097648 0.422693697259913 0.995651193899321 0.991616994923005
"Black HH, own" 0.051963462300622 0.0506666666666667 0.0516933333333333 0.0515866666666667 0.0428186847188375 0.0585146486144958 0.0427115721702883 0.0606750944963784 0.0416925593723461 0.0614807739609872 0.221642771981316 0.359427191154155 0.99558670804562 0.992862762521308
"Spouse present, HH is White" 0.599481931685229 0.604666666666667 0.594546666666667 0.595393333333333 0.587171132979807 0.622162200353526 0.574965049591386 0.614128283741948 0.573691702900068 0.617094963766599 0.194784111956644 0.344454466794133 0.996119435208204 0.993158045499901
"Spouse present, HH is Black" 0.0411915333920303 0.0446666666666667 0.0453 0.04326 0.0372747561449854 0.052058577188348 0.0362414338469327 0.0543585661530673 0.0343014216081583 0.0522185783918417 0.324614562993438 0.339092995678651 0.993549586702008 0.993263823889164
"White couple" 0.57892769588939 0.584 0.572346666666667 0.570686666666667 0.566362356811498 0.601637643188502 0.553021730267187 0.591671603066146 0.548232537364323 0.593140795969011 0.160618962589796 0.377110440599966 0.996797907085046 0.992514250275537
