"Orig. Data Q" "Full Model Q" "Orig. Data L" "Orig. Data U" "Full Model L" "Full Model U"
"$n_i = 2$" 0.950574712643678 0.950574712643678 0.936171605391486 0.964977819895871 0.936171605391486 0.964977819895871
"$n_i = 3$" 0.902439024390244 0.902439024390244 0.872164180743885 0.932713868036603 0.872164180743885 0.932713868036603
"$n_i = 4$" 0.908045977011494 0.908045977011494 0.872989592489746 0.943102361533243 0.872989592489746 0.943102361533243
"SP present" 0.702666666666667 0.679786666666667 0.679535425465932 0.725797907867402 0.651467389350909 0.708105943982424
"SP with white HH" 0.618666666666667 0.607 0.594086591596019 0.643246741737315 0.57779730099373 0.63620269900627
"SP with black HH" 0.0406666666666667 0.03428 0.0306711207871934 0.0506622125461399 0.0238368461455878 0.0447231538544122
"White couple" 0.598666666666667 0.5894 0.573861187746002 0.623472145587331 0.560174557527502 0.618625442472498
"White couple, own" 0.536666666666667 0.516306666666667 0.511431769173929 0.561901564159405 0.487555880030064 0.545057453303269
"Same race couple" 0.666 0.646546666666667 0.642132176947328 0.689867823052672 0.617960985934401 0.675132347398932
"White-nonwhite couple" 0.03 0.0271333333333333 0.0213672541377922 0.0386327458622078 0.018338975200409 0.0359276914662576
"Nonwhite couple, own" 0.05 0.04196 0.0389706665664399 0.0610293334335601 0.0305472857628358 0.0533727142371642
"Only mother present" 0.0166666666666667 0.01492 0.0101881255868865 0.0231452077464468 0.00744880342842627 0.0223911965715737
"Only one parent present" 0.0226666666666667 0.0248 0.0151345394582313 0.0301987938751021 0.0150031964934155 0.0345968035065845
"Children present" 0.448 0.464293333333333 0.422834184554938 0.473165815445062 0.435572334540844 0.493014332125823
"Siblings present" 0.024 0.0283733333333333 0.0162547936797036 0.0317452063202964 0.0176161992442462 0.0391304674224204
"Grandchild present" 0.0366666666666667 0.0453066666666667 0.027155660336382 0.0461776729969514 0.0322536892035045 0.0583596441298289
"Three generations present" 0.026 0.0312 0.0179467976069451 0.0340532023930549 0.0207474316751838 0.0416525683248162
"Same age couple" 0.0886666666666667 0.0657466666666667 0.074281288600092 0.103052044733241 0.0528077949591017 0.0786855383742316
"White HH, older than SP" 0.320666666666667 0.29436 0.297047159443681 0.344286173889652 0.265620069356459 0.323099930643541
"Nonhisp HH" 0.909333333333333 0.909333333333333 0.894802589659122 0.923864077007545 0.894802589659122 0.923864077007545
"White, Hisp HH" 0.062 0.062 0.049796069508111 0.074203930491889 0.049796069508111 0.074203930491889
