"HHSize" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
3 2 1 2 1 45 1
1 2 2 1 5 24 1
3 2 2 1 5 28 1
1 1 1 1 1 75 1
1 1 1 1 1 58 1
2 1 1 1 1 67 1
1 1 2 1 1 63 1
1 1 2 1 1 84 1
1 1 1 1 1 72 1
1 2 2 1 1 31 1
1 2 1 1 1 20 1
1 1 1 1 1 73 1
1 1 2 1 1 57 1
2 2 1 1 1 24 1
1 1 2 1 1 63 1
3 1 1 1 3 43 1
1 1 1 1 1 51 1
4 1 1 8 5 37 1
1 1 2 1 1 54 1
1 2 1 1 1 23 1
1 1 1 8 2 75 1
2 1 1 1 1 56 1
2 2 2 2 1 56 1
4 1 2 8 1 35 1
1 1 1 1 2 41 1
1 1 1 1 1 45 1
4 1 2 1 2 36 1
1 1 1 1 1 63 1
2 1 2 1 1 31 1
4 1 1 1 1 51 1
1 1 1 1 1 59 1
1 1 1 1 1 64 1
2 1 1 1 1 58 1
2 1 2 1 1 66 1
1 1 1 1 1 50 1
3 1 1 1 1 38 1
3 1 1 1 1 38 1
2 2 2 2 1 41 1
2 1 2 2 1 31 1
4 1 2 1 1 63 1
1 1 2 1 1 81 1
1 1 1 1 1 72 1
1 2 1 1 1 36 1
1 1 1 2 1 62 1
1 1 2 1 1 71 1
1 1 2 2 1 54 1
3 1 2 1 1 38 1
5 1 1 1 1 43 1
4 1 2 1 1 48 1
3 2 1 1 1 22 1
2 1 2 1 1 58 1
2 1 1 1 1 73 1
2 2 1 1 1 47 1
1 1 1 1 1 57 1
1 2 1 2 1 40 1
3 1 2 1 1 48 1
1 1 1 1 1 66 1
2 1 1 1 1 68 1
1 1 1 1 1 50 1
2 1 1 1 1 31 1
1 1 1 1 1 60 1
2 1 1 1 1 52 1
1 1 1 1 1 72 1
5 1 2 1 2 34 1
1 1 2 1 1 51 1
2 2 2 1 1 25 1
3 1 1 1 1 44 1
1 1 1 1 1 62 1
1 1 2 7 5 62 1
1 1 2 1 1 50 1
2 1 1 1 1 41 1
1 1 1 1 1 65 1
1 1 2 1 1 87 1
2 1 1 1 1 60 1
1 1 2 1 1 71 1
3 1 2 2 1 53 1
1 1 1 1 1 78 1
2 2 1 2 1 30 1
5 1 1 3 1 36 1
2 1 2 1 1 51 1
1 1 1 1 1 49 1
1 1 2 1 1 74 1
5 1 1 1 1 42 1
3 1 1 1 1 49 1
1 1 2 1 1 62 1
1 1 2 1 1 26 1
1 1 1 1 1 79 1
1 1 2 1 1 65 1
3 2 1 7 5 63 1
1 2 2 6 1 21 1
1 1 1 1 1 43 1
1 1 1 1 1 59 1
1 1 1 1 1 60 1
1 1 1 1 1 60 1
2 1 2 1 1 37 1
5 2 2 1 1 47 1
3 1 1 4 1 48 1
1 1 1 1 1 50 1
3 1 2 1 1 47 1
3 1 1 1 1 37 1
3 1 1 1 1 39 1
1 1 2 2 1 75 1
2 2 2 1 2 57 1
3 1 2 7 2 59 1
1 1 1 1 1 60 1
1 1 1 1 1 35 1
1 1 1 1 1 51 1
3 2 1 1 1 20 1
1 1 2 1 1 66 1
4 1 1 1 1 51 1
3 1 1 1 1 38 1
3 2 1 1 1 31 1
4 1 1 1 1 33 1
3 1 1 1 1 54 1
4 1 2 1 1 36 1
1 1 2 1 1 71 1
1 1 1 1 1 57 1
3 2 2 1 1 22 1
3 1 2 1 1 28 1
1 2 2 1 1 24 1
1 2 1 1 1 30 1
1 1 2 1 1 72 1
1 1 1 2 1 69 1
1 1 1 1 1 54 1
2 1 1 1 1 73 1
1 1 1 1 1 70 1
1 1 1 1 1 53 1
2 2 1 1 1 45 1
3 2 1 1 1 53 1
3 1 2 7 2 25 1
2 1 1 1 1 38 1
5 1 1 1 1 38 1
1 1 1 1 1 89 1
4 1 1 1 1 36 1
2 1 2 1 1 59 1
2 1 2 8 1 58 1
1 1 1 2 1 48 1
2 1 1 1 5 47 1
2 1 2 1 1 36 1
4 2 1 6 1 28 1
3 1 1 1 1 39 1
2 1 2 1 1 45 1
4 1 1 1 1 47 1
1 2 2 1 2 48 1
1 1 2 1 1 73 1
2 1 1 1 2 40 1
2 2 1 1 1 56 1
1 1 2 1 1 50 1
1 1 1 1 1 68 1
1 1 1 1 1 78 1
3 2 2 1 5 57 1
1 2 1 7 3 65 1
2 1 2 1 5 44 1
1 1 1 1 1 77 1
1 2 1 1 1 91 1
2 1 1 8 1 48 1
3 2 1 1 3 40 1
1 1 2 2 1 93 1
1 1 1 1 1 77 1
3 2 1 4 1 47 1
2 1 2 2 1 51 1
1 1 1 2 1 65 1
3 2 2 1 1 22 1
3 1 1 1 1 41 1
2 1 1 1 1 50 1
2 1 1 2 1 56 1
1 1 1 1 1 79 1
1 1 1 1 1 37 1
1 2 1 1 1 77 1
1 1 1 1 1 58 1
4 1 1 6 1 41 1
