"Gender" "Race" "Hisp" "Age" "Relate"
2 1 1 57 2
1 6 1 24 3
2 1 1 67 2
1 3 1 49 12
1 1 1 40 2
1 1 1 14 3
1 2 1 36 6
1 2 1 70 7
1 1 1 30 2
2 1 1 38 2
2 1 1 6 3
2 1 1 4 3
1 1 1 26 2
2 1 1 1 3
1 1 1 67 2
2 1 1 63 2
2 1 1 37 2
2 1 1 6 3
2 1 1 1 3
2 3 1 54 2
1 1 1 31 2
2 1 1 32 2
2 1 1 3 3
1 1 1 1 3
2 1 1 22 2
1 1 1 1 3
2 6 1 40 2
2 6 1 5 3
1 1 1 54 2
1 1 1 12 3
1 1 1 10 3
2 1 1 39 2
1 1 1 70 2
1 1 1 35 2
2 1 1 10 3
2 1 1 61 2
1 1 1 28 12
2 8 1 24 3
1 8 1 3 8
1 1 1 28 13
2 1 1 73 2
2 1 1 60 7
1 1 1 30 12
2 1 1 67 2
1 1 1 47 2
1 2 1 50 3
1 2 1 25 3
1 1 1 40 2
1 1 1 14 3
1 1 1 12 3
2 1 1 83 2
1 1 1 34 2
2 1 2 67 2
2 1 2 41 3
2 1 1 42 2
1 1 1 16 3
1 1 1 7 3
2 1 1 62 2
2 1 2 47 2
2 1 2 20 3
1 1 2 18 3
2 1 1 60 2
2 3 1 3 3
2 3 1 1 3
1 1 1 48 2
1 1 1 21 3
1 1 1 14 3
1 7 3 37 2
2 7 3 10 3
2 2 1 59 2
1 1 1 48 2
1 1 1 17 3
2 1 1 16 3
2 1 1 75 2
2 4 1 65 2
2 1 1 54 2
1 1 1 16 3
2 1 1 57 12
2 1 1 39 2
1 1 1 8 3
1 1 1 6 3
2 1 1 70 2
1 1 1 62 12
1 1 1 50 2
1 1 1 24 3
2 1 2 58 2
2 1 1 54 2
2 1 1 12 4
2 1 1 12 13
2 1 1 69 2
2 1 1 25 3
2 1 1 51 2
1 1 1 13 8
1 1 1 11 8
2 1 1 53 2
2 1 1 27 3
2 1 1 56 2
2 1 1 18 3
2 1 1 16 3
2 1 1 55 2
2 1 1 33 3
1 1 1 6 4
1 1 1 10 8
1 1 1 10 3
1 1 1 3 3
2 1 1 54 2
1 1 1 66 2
1 2 1 56 2
1 2 1 41 3
2 2 1 81 11
2 1 1 57 2
1 1 1 87 2
2 8 1 26 6
1 1 1 70 2
2 1 1 52 2
1 1 1 24 3
2 2 1 82 2
1 1 1 76 2
2 1 1 69 2
2 2 1 73 2
2 2 1 41 3
1 2 1 35 3
1 1 1 52 2
2 1 1 49 2
1 1 1 12 3
2 1 1 70 2
1 1 1 40 3
2 1 1 42 2
2 1 1 42 2
2 1 1 19 3
2 1 1 18 3
2 2 1 14 11
1 2 1 58 2
2 1 1 28 12
1 1 1 15 3
1 1 1 12 3
1 3 1 38 12
2 1 1 86 7
1 1 1 60 12
2 1 1 54 2
1 1 1 23 3
1 1 1 37 2
2 1 1 12 3
1 1 1 10 3
1 3 1 49 2
1 1 2 46 2
2 1 1 50 2
1 8 2 3 3
2 1 1 16 3
1 1 1 70 2
2 1 1 46 2
2 1 1 74 2
2 1 1 65 2
1 1 1 36 3
2 6 1 40 10
1 1 1 55 2
1 1 1 22 3
1 1 1 21 13
2 4 1 48 2
1 4 1 25 3
2 4 1 20 3
1 1 1 50 2
2 1 1 28 12
2 1 1 32 2
2 1 1 59 2
2 1 1 50 2
1 1 1 46 2
2 1 1 20 3
2 1 1 17 3
2 1 1 55 2
2 1 1 33 3
1 1 1 17 3
1 1 1 13 3
1 1 1 4 3
1 1 1 19 3
1 1 1 13 3
1 1 1 8 3
2 1 1 76 2
2 1 1 73 2
2 1 1 68 2
1 1 2 27 2
1 1 5 9 3
1 1 1 24 12
2 1 1 64 2
2 1 1 57 2
2 1 1 15 3
2 1 1 50 2
1 1 1 22 5
1 1 1 51 2
2 1 1 77 2
1 1 1 26 12
2 6 1 46 2
2 6 1 18 3
2 6 1 12 3
2 1 1 18 3
2 1 1 13 3
2 1 1 57 2
1 1 1 34 2
2 1 1 4 3
1 1 1 1 3
2 1 1 83 2
2 1 1 79 2
2 1 1 78 2
2 1 1 68 2
2 1 1 56 2
1 6 1 53 2
1 6 1 26 3
1 6 1 20 3
1 1 1 66 2
2 1 1 8 3
1 1 1 30 12
2 1 1 67 2
1 1 1 89 2
1 1 1 64 2
2 1 1 42 2
1 1 1 15 3
1 1 1 11 3
2 1 1 81 2
1 1 1 36 12
2 1 1 44 2
2 1 1 9 3
1 1 1 7 3
2 1 1 58 2
1 7 3 7 3
1 7 3 5 3
2 6 1 32 2
1 1 1 60 3
1 7 2 54 13
2 1 1 53 13
1 8 1 27 12
1 6 1 26 12
2 1 1 30 2
1 2 1 46 2
1 2 1 16 3
1 2 1 15 3
2 1 1 73 2
2 1 2 68 2
1 1 2 30 3
1 1 2 72 11
1 1 1 29 3
2 1 1 53 12
1 1 1 68 2
1 1 1 74 2
1 1 1 34 13
2 1 1 68 2
2 1 1 60 2
1 1 1 29 2
2 1 1 1 3
2 1 2 35 2
2 7 3 15 3
2 2 1 69 2
1 2 1 26 8
2 2 1 27 11
1 1 1 24 3
1 1 1 22 3
1 1 1 58 2
1 1 1 43 12
2 1 1 71 2
2 7 1 30 2
1 2 1 1 3
2 7 2 48 2
1 7 2 20 3
1 1 1 15 3
2 1 1 26 12
1 1 1 46 2
2 1 1 27 3
2 2 1 37 2
2 2 1 18 6
2 1 1 1 3
1 1 1 41 12
1 1 1 42 2
1 1 1 6 3
1 1 1 3 3
1 1 1 34 2
1 1 1 5 3
2 1 1 3 3
1 1 1 26 2
2 1 1 50 2
1 1 1 20 3
2 1 1 17 3
2 1 2 33 2
1 1 1 25 2
2 1 1 22 2
2 1 1 56 2
1 1 1 26 2
2 1 1 50 2
2 1 1 30 3
2 1 4 81 2
2 1 1 42 2
1 1 1 10 3
2 1 1 63 2
2 1 1 60 2
2 6 1 33 2
1 6 1 1 3
2 1 1 6 3
2 1 1 33 12
2 1 2 48 2
2 1 2 12 3
2 1 1 71 2
2 1 1 62 2
1 1 1 79 2
2 1 1 43 2
1 1 1 14 3
1 2 1 73 2
1 2 1 19 8
2 1 1 63 2
2 1 1 35 3
2 1 1 6 8
2 1 1 55 2
1 1 1 29 3
1 1 1 67 2
2 1 1 43 2
2 1 1 22 3
