"HHSize" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
"1" "1" "2" "1" "1" "89" "1"
"1" "1" "2" "1" "1" "80" "1"
"2" "1" "2" "9" "5" "16" "1"
"3" "1" "1" "1" "1" "71" "1"
"1" "1" "2" "1" "5" "16" "1"
"1" "2" "2" "4" "2" "63" "1"
"2" "1" "2" "1" "3" "16" "1"
"3" "1" "2" "1" "1" "16" "1"
"3" "1" "2" "1" "1" "95" "1"
"1" "1" "2" "1" "5" "48" "1"
"1" "1" "2" "1" "1" "16" "1"
"1" "1" "2" "1" "3" "37" "1"
"1" "1" "2" "1" "4" "25" "1"
"1" "1" "2" "1" "1" "71" "1"
"2" "1" "2" "7" "5" "96" "1"
"1" "2" "2" "1" "1" "16" "1"
"1" "1" "2" "1" "1" "16" "1"
"2" "1" "1" "2" "1" "24" "1"
"1" "2" "1" "2" "5" "61" "1"
"2" "1" "1" "6" "4" "19" "1"
"2" "1" "1" "2" "1" "18" "1"
"3" "1" "1" "1" "1" "16" "1"
"1" "1" "1" "2" "1" "53" "1"
"1" "1" "1" "1" "3" "81" "1"
"1" "1" "1" "1" "3" "18" "1"
"2" "1" "1" "1" "1" "18" "1"
"1" "1" "1" "1" "1" "37" "1"
"1" "1" "1" "1" "1" "28" "1"
"2" "1" "2" "1" "1" "68" "1"
"1" "1" "2" "1" "2" "36" "1"
"3" "1" "2" "2" "1" "20" "1"
"1" "1" "2" "1" "5" "18" "1"
"1" "1" "2" "1" "1" "36" "1"
"3" "1" "2" "1" "5" "38" "1"
"1" "1" "2" "1" "1" "80" "1"
"2" "1" "2" "1" "1" "20" "1"
"3" "1" "2" "1" "1" "20" "1"
"1" "1" "2" "1" "1" "29" "1"
"2" "1" "2" "1" "2" "18" "1"
"1" "1" "1" "1" "1" "38" "1"
"1" "1" "2" "1" "1" "16" "1"
"3" "1" "2" "1" "1" "16" "1"
"1" "1" "2" "1" "1" "16" "1"
"2" "1" "2" "1" "1" "60" "1"
"1" "1" "1" "1" "1" "16" "1"
"1" "2" "2" "2" "3" "42" "1"
"1" "1" "2" "1" "1" "16" "1"
"3" "2" "1" "1" "1" "27" "1"
"1" "1" "2" "1" "1" "16" "1"
"1" "1" "2" "1" "3" "27" "1"
"1" "1" "2" "1" "1" "54" "1"
"1" "1" "2" "1" "1" "24" "1"
"1" "1" "1" "1" "1" "80" "1"
"1" "1" "2" "1" "1" "28" "1"
"2" "1" "2" "1" "1" "18" "1"
