"HHSize" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
"1" "1" "1" "1" "2" "30" "1"
"1" "1" "1" "1" "4" "84" "1"
"2" "1" "1" "1" "1" "23" "1"
"3" "1" "2" "1" "1" "47" "1"
"1" "1" "1" "1" "1" "57" "1"
"1" "1" "1" "4" "3" "29" "1"
"2" "2" "1" "1" "1" "23" "1"
"3" "1" "2" "1" "1" "45" "1"
"3" "1" "1" "1" "1" "46" "1"
"1" "2" "2" "1" "1" "92" "1"
"1" "1" "1" "1" "1" "69" "1"
"1" "1" "1" "1" "1" "89" "1"
"1" "1" "1" "1" "5" "16" "1"
"1" "1" "1" "1" "1" "27" "1"
"2" "2" "1" "7" "1" "44" "1"
"1" "1" "1" "1" "1" "33" "1"
"1" "1" "1" "1" "1" "71" "1"
"2" "1" "2" "2" "1" "72" "1"
"1" "2" "2" "2" "1" "36" "1"
"2" "2" "1" "6" "4" "78" "1"
"2" "1" "1" "2" "5" "36" "1"
"3" "1" "2" "1" "1" "65" "1"
"1" "2" "2" "2" "1" "25" "1"
"1" "1" "1" "1" "1" "44" "1"
"1" "1" "1" "1" "1" "27" "1"
"2" "1" "2" "1" "1" "37" "1"
"1" "1" "1" "1" "1" "46" "1"
"1" "1" "1" "1" "1" "83" "1"
"2" "1" "1" "1" "1" "24" "1"
"1" "1" "1" "1" "1" "29" "1"
"3" "2" "2" "2" "1" "46" "1"
"1" "1" "1" "1" "1" "55" "1"
"1" "2" "1" "1" "1" "47" "1"
"3" "1" "2" "1" "5" "22" "1"
"1" "1" "1" "1" "1" "30" "1"
"2" "1" "2" "1" "1" "53" "1"
"3" "1" "1" "1" "1" "28" "1"
"1" "1" "1" "1" "1" "22" "1"
"2" "1" "1" "1" "2" "28" "1"
"1" "1" "1" "1" "1" "18" "1"
"1" "1" "1" "1" "1" "34" "1"
"3" "1" "1" "1" "1" "53" "1"
"1" "1" "2" "1" "1" "51" "1"
"2" "1" "1" "1" "1" "31" "1"
"1" "1" "2" "1" "1" "80" "1"
"1" "1" "1" "2" "1" "78" "1"
"1" "1" "1" "1" "1" "60" "1"
"3" "1" "1" "1" "1" "63" "1"
"1" "1" "1" "1" "1" "25" "1"
"1" "1" "1" "1" "1" "44" "1"
"1" "1" "1" "1" "1" "51" "1"
"1" "2" "1" "1" "1" "19" "1"
"1" "1" "2" "1" "1" "32" "1"
"1" "1" "2" "1" "1" "89" "1"
"2" "1" "1" "1" "1" "30" "1"
"3" "1" "1" "1" "1" "22" "1"
"1" "2" "2" "1" "1" "22" "1"
"1" "1" "2" "1" "1" "77" "1"
"1" "1" "2" "1" "1" "51" "1"
"1" "1" "1" "1" "1" "36" "1"
"3" "1" "1" "5" "4" "73" "1"
"1" "1" "1" "1" "1" "19" "1"
"1" "1" "1" "1" "1" "53" "1"
"1" "1" "1" "1" "1" "49" "1"
"1" "1" "1" "1" "1" "74" "1"
"1" "1" "2" "1" "1" "24" "1"
"2" "1" "2" "1" "1" "68" "1"
"1" "2" "2" "1" "1" "23" "1"
"2" "1" "1" "1" "4" "49" "1"
"3" "1" "2" "1" "1" "67" "1"
"3" "1" "1" "4" "1" "48" "1"
"1" "1" "2" "1" "1" "30" "1"
"3" "1" "2" "1" "1" "16" "1"
"1" "1" "1" "1" "1" "22" "1"
"1" "1" "2" "1" "1" "36" "1"
"1" "1" "1" "2" "1" "48" "1"
"1" "1" "1" "1" "1" "46" "1"
"2" "1" "2" "1" "5" "48" "1"
"1" "1" "2" "1" "1" "24" "1"
"1" "1" "1" "1" "1" "49" "1"
"2" "1" "2" "6" "4" "44" "1"
"3" "2" "1" "6" "4" "92" "1"
"1" "1" "2" "1" "1" "46" "1"
"1" "2" "2" "7" "3" "50" "1"
"2" "1" "2" "6" "4" "25" "1"
"1" "1" "1" "1" "1" "81" "1"
"1" "1" "2" "1" "1" "61" "1"
"2" "1" "1" "1" "1" "36" "1"
"2" "2" "2" "8" "2" "56" "1"
"1" "1" "1" "1" "1" "35" "1"
"2" "1" "1" "8" "3" "58" "1"
"1" "2" "2" "2" "1" "38" "1"
"1" "1" "1" "1" "1" "18" "1"
"2" "1" "1" "1" "1" "21" "1"
"3" "1" "2" "1" "1" "49" "1"
"1" "2" "2" "1" "1" "61" "1"
"1" "1" "1" "1" "1" "40" "1"
"1" "1" "1" "1" "1" "53" "1"
"1" "1" "2" "1" "1" "67" "1"
"1" "1" "2" "1" "1" "30" "1"
"1" "2" "2" "7" "2" "29" "1"
"1" "1" "1" "1" "1" "46" "1"
"1" "2" "1" "1" "1" "82" "1"
"1" "1" "2" "1" "1" "27" "1"
"1" "1" "1" "1" "1" "74" "1"
"2" "1" "1" "1" "1" "36" "1"
"1" "1" "2" "1" "2" "27" "1"
"2" "1" "1" "1" "1" "51" "1"
"1" "1" "1" "1" "1" "81" "1"
"2" "1" "2" "5" "1" "51" "1"
"2" "1" "2" "1" "1" "92" "1"
"1" "1" "1" "1" "1" "30" "1"
"1" "1" "1" "1" "1" "89" "1"
"2" "1" "2" "1" "1" "80" "1"
"1" "1" "1" "1" "1" "76" "1"
"3" "1" "1" "1" "1" "33" "1"
"1" "1" "1" "1" "1" "89" "1"
"3" "1" "1" "1" "1" "24" "1"
"1" "2" "2" "1" "1" "29" "1"
"1" "2" "1" "1" "2" "39" "1"
"3" "1" "1" "1" "1" "30" "1"
"1" "1" "1" "1" "2" "17" "1"
"1" "1" "1" "2" "1" "78" "1"
"1" "1" "2" "1" "1" "41" "1"
"1" "1" "1" "1" "1" "20" "1"
"1" "1" "2" "1" "1" "58" "1"
"1" "1" "1" "1" "1" "46" "1"
"1" "1" "1" "1" "1" "76" "1"
"2" "1" "2" "1" "1" "46" "1"
