"Gender" "Race" "Hisp" "Age" "Relate"
"1" "1" "1" "67" "2"
"2" "1" "1" "64" "12"
"1" "1" "1" "96" "2"
"2" "1" "1" "73" "2"
"1" "1" "1" "47" "2"
"2" "3" "1" "3" "12"
"2" "3" "1" "40" "13"
"1" "1" "1" "48" "3"
"2" "1" "1" "36" "12"
"1" "1" "1" "14" "12"
"1" "7" "3" "69" "7"
"1" "7" "3" "10" "4"
"2" "1" "1" "80" "12"
"2" "1" "1" "29" "2"
"1" "1" "1" "10" "3"
"1" "1" "1" "3" "3"
"2" "1" "1" "57" "2"
"2" "8" "1" "26" "3"
"2" "1" "1" "52" "2"
"1" "1" "1" "24" "3"
"2" "1" "1" "42" "2"
"2" "1" "1" "19" "3"
"2" "1" "1" "18" "3"
"2" "1" "1" "53" "3"
"1" "1" "1" "12" "3"
"1" "3" "1" "42" "2"
"1" "1" "2" "46" "2"
"2" "1" "1" "16" "3"
"2" "1" "1" "70" "2"
"1" "1" "1" "50" "2"
"1" "1" "1" "19" "3"
"1" "1" "1" "13" "3"
"1" "1" "1" "8" "3"
"1" "1" "1" "24" "12"
"1" "1" "1" "26" "12"
"1" "1" "1" "34" "2"
"2" "1" "1" "4" "3"
"1" "1" "1" "1" "3"
"1" "1" "1" "62" "3"
"1" "6" "1" "82" "12"
"1" "6" "1" "26" "3"
"1" "6" "1" "88" "7"
"1" "1" "1" "36" "12"
"2" "1" "1" "60" "2"
"2" "1" "1" "24" "3"
"2" "1" "1" "7" "13"
"2" "1" "1" "71" "2"
"2" "7" "1" "30" "2"
"1" "2" "1" "1" "3"
"2" "7" "2" "48" "2"
"1" "7" "2" "20" "3"
"1" "1" "1" "56" "2"
"1" "1" "1" "67" "2"
"2" "1" "1" "9" "12"
"2" "6" "1" "33" "2"
"1" "6" "1" "1" "3"
"1" "1" "1" "85" "12"
"1" "2" "1" "73" "2"
"1" "2" "1" "19" "8"
"2" "8" "1" "21" "3"
"1" "2" "1" "42" "12"
"2" "2" "1" "8" "3"
"1" "6" "1" "26" "3"
"1" "6" "1" "20" "3"
"2" "1" "1" "39" "2"
"1" "1" "1" "7" "3"
"2" "1" "1" "5" "3"
"2" "1" "1" "39" "2"
"1" "1" "1" "54" "9"
"2" "1" "1" "70" "12"
"1" "1" "1" "49" "2"
"2" "2" "1" "46" "2"
"1" "2" "1" "18" "3"
"1" "1" "1" "49" "2"
"2" "1" "1" "39" "6"
"1" "1" "2" "15" "11"
"2" "2" "1" "5" "3"
"2" "1" "1" "68" "2"
"1" "1" "1" "37" "3"
"1" "1" "1" "53" "9"
"1" "1" "1" "64" "2"
"1" "1" "1" "61" "3"
"1" "1" "1" "33" "2"
"2" "1" "2" "59" "2"
"1" "1" "2" "31" "3"
"2" "1" "2" "24" "3"
"1" "1" "1" "59" "2"
"1" "1" "1" "24" "3"
"1" "1" "1" "59" "6"
"2" "1" "1" "95" "7"
"1" "1" "1" "74" "2"
"1" "1" "1" "47" "2"
"1" "1" "1" "93" "13"
"1" "1" "1" "22" "3"
"2" "1" "1" "21" "13"
"1" "1" "1" "32" "2"
"1" "2" "1" "25" "3"
"2" "2" "1" "71" "7"
"1" "2" "1" "4" "8"
"1" "1" "1" "4" "8"
"2" "1" "1" "24" "12"
"2" "1" "1" "20" "12"
"1" "1" "1" "83" "2"
"2" "1" "1" "24" "13"
"1" "1" "1" "45" "11"
"1" "1" "1" "38" "3"
"1" "1" "1" "36" "12"
"1" "1" "1" "17" "3"
"2" "1" "1" "17" "3"
"2" "1" "1" "56" "3"
"2" "1" "1" "26" "8"
"2" "1" "1" "2" "8"
"2" "1" "1" "37" "2"
"2" "1" "1" "6" "3"
"1" "1" "1" "4" "3"
"1" "2" "1" "61" "3"
"1" "2" "1" "43" "8"
"1" "2" "1" "32" "8"
"1" "1" "1" "33" "7"
"1" "1" "1" "3" "12"
"1" "1" "1" "77" "9"
"1" "1" "1" "30" "2"
"1" "1" "1" "70" "12"
"2" "1" "1" "42" "2"
"1" "1" "1" "23" "5"
"2" "1" "2" "33" "2"
"1" "1" "1" "11" "5"
"1" "1" "1" "17" "3"
"1" "1" "1" "62" "2"
"1" "7" "2" "43" "2"
"2" "7" "2" "19" "3"
"2" "7" "2" "10" "3"
"1" "1" "1" "83" "13"
"1" "1" "1" "56" "2"
"2" "1" "1" "87" "2"
"2" "1" "1" "55" "2"
"2" "1" "1" "25" "4"
"2" "1" "1" "1" "8"
"2" "2" "1" "48" "2"
"1" "1" "1" "39" "2"
"2" "1" "1" "61" "3"
"1" "1" "1" "28" "5"
"1" "1" "1" "30" "12"
"1" "1" "1" "29" "2"
"2" "1" "1" "1" "3"
"1" "1" "1" "56" "3"
"2" "2" "3" "37" "6"
"2" "1" "1" "22" "2"
"2" "1" "1" "12" "13"
"2" "1" "1" "58" "8"
"2" "1" "1" "70" "2"
"1" "1" "1" "45" "2"
"1" "1" "1" "13" "3"
"1" "1" "1" "72" "12"
"1" "1" "1" "34" "3"
"2" "1" "1" "49" "2"
"1" "1" "1" "19" "3"
"2" "1" "1" "82" "2"
"2" "1" "1" "57" "2"
"1" "2" "1" "56" "3"
"1" "2" "1" "35" "2"
"2" "2" "1" "16" "3"
"2" "2" "1" "7" "3"
"1" "1" "1" "49" "12"
"2" "1" "1" "82" "2"
"2" "1" "1" "24" "6"
"1" "1" "1" "27" "2"
"2" "1" "1" "2" "3"
"1" "1" "2" "35" "2"
"1" "1" "2" "12" "3"
"2" "1" "2" "4" "3"
"2" "1" "1" "61" "2"
"2" "1" "1" "24" "8"
"1" "1" "1" "5" "3"
"1" "1" "1" "86" "2"
"2" "2" "1" "74" "2"
"1" "1" "1" "2" "8"
"2" "1" "1" "51" "2"
"1" "1" "1" "23" "3"
"1" "1" "1" "45" "2"
"2" "1" "1" "12" "3"
"2" "1" "1" "58" "2"
"2" "1" "1" "52" "12"
"1" "1" "1" "82" "7"
"1" "2" "1" "16" "3"
"1" "1" "1" "79" "2"
"1" "8" "2" "42" "5"
"2" "1" "1" "72" "2"
"1" "1" "1" "10" "3"
"2" "1" "1" "28" "12"
"1" "1" "1" "54" "2"
"1" "1" "1" "8" "3"
"1" "1" "1" "19" "12"
"1" "1" "2" "29" "12"
"2" "2" "1" "74" "2"
"2" "1" "1" "69" "2"
"1" "2" "1" "8" "3"
"2" "2" "1" "3" "3"
"2" "1" "1" "57" "2"
"1" "1" "1" "39" "3"
"1" "1" "1" "7" "3"
"2" "1" "1" "26" "3"
"1" "1" "1" "25" "13"
"2" "5" "1" "37" "2"
"1" "5" "1" "7" "3"
"2" "5" "1" "1" "3"
"1" "1" "1" "72" "12"
"2" "1" "1" "14" "3"
"2" "1" "1" "30" "2"
