"Gender" "Race" "Hisp" "Age" "Relate"
"2" "1" "1" "67" "10"
"2" "1" "1" "61" "2"
"2" "3" "1" "5" "3"
"2" "1" "1" "1" "3"
"1" "1" "1" "45" "2"
"1" "1" "1" "22" "3"
"1" "1" "1" "16" "12"
"2" "1" "1" "28" "2"
"2" "8" "1" "32" "6"
"2" "1" "1" "24" "2"
"1" "1" "1" "4" "3"
"1" "1" "1" "42" "2"
"2" "1" "1" "16" "3"
"2" "1" "1" "30" "3"
"2" "1" "1" "56" "2"
"1" "1" "1" "12" "3"
"1" "1" "1" "57" "12"
"1" "1" "1" "89" "2"
"1" "1" "1" "16" "3"
"2" "1" "1" "71" "2"
"2" "1" "1" "60" "2"
"2" "1" "1" "71" "2"
"2" "7" "2" "48" "2"
"1" "7" "2" "12" "3"
"2" "1" "1" "61" "2"
"2" "1" "1" "28" "2"
"1" "2" "1" "67" "2"
"2" "2" "1" "19" "8"
"1" "2" "1" "77" "11"
"1" "6" "1" "39" "13"
"1" "7" "1" "20" "3"
"2" "2" "1" "46" "2"
"1" "2" "1" "7" "3"
"1" "1" "1" "63" "2"
"1" "1" "1" "39" "12"
"1" "1" "1" "57" "12"
"2" "2" "1" "5" "3"
"2" "1" "1" "49" "12"
"1" "1" "1" "33" "11"
"1" "1" "1" "21" "2"
"1" "1" "1" "16" "3"
"2" "1" "1" "16" "3"
"1" "1" "1" "61" "12"
"1" "1" "1" "9" "3"
"2" "1" "1" "16" "3"
"2" "1" "1" "51" "2"
"1" "2" "1" "83" "9"
"2" "2" "1" "5" "12"
"1" "2" "1" "39" "3"
"2" "1" "1" "50" "2"
"2" "1" "1" "24" "12"
"1" "1" "1" "56" "2"
"2" "1" "1" "25" "12"
"1" "1" "1" "6" "3"
"2" "1" "1" "50" "2"
"1" "1" "1" "5" "3"
"2" "1" "1" "12" "3"
"2" "1" "1" "47" "2"
"1" "1" "1" "8" "3"
"1" "1" "1" "6" "3"
"2" "1" "1" "61" "2"
"2" "9" "2" "66" "2"
"1" "1" "1" "11" "3"
"2" "1" "1" "2" "3"
"2" "8" "1" "60" "2"
"2" "1" "1" "75" "2"
"1" "1" "1" "25" "3"
"1" "1" "1" "17" "8"
"1" "1" "1" "17" "2"
"2" "1" "1" "29" "2"
"2" "1" "1" "1" "3"
"1" "1" "1" "61" "3"
"2" "2" "1" "10" "8"
"2" "1" "1" "67" "2"
"2" "1" "1" "49" "3"
"2" "1" "1" "16" "2"
"2" "1" "1" "35" "3"
"2" "1" "1" "71" "2"
"2" "1" "1" "49" "2"
"1" "1" "1" "18" "3"
"1" "1" "1" "3" "3"
"1" "1" "1" "61" "2"
"1" "1" "1" "45" "2"
"2" "1" "1" "61" "2"
"1" "1" "2" "7" "3"
"1" "1" "1" "15" "3"
"1" "1" "1" "2" "12"
"2" "1" "1" "25" "2"
"2" "1" "1" "28" "9"
"1" "1" "1" "59" "2"
"1" "1" "1" "39" "2"
"1" "1" "1" "10" "3"
"2" "5" "1" "64" "2"
"1" "5" "1" "21" "3"
"2" "5" "1" "53" "3"
"2" "1" "1" "39" "2"
"2" "1" "1" "72" "2"
"1" "1" "1" "5" "3"
"1" "1" "1" "23" "3"
"1" "1" "1" "64" "2"
"1" "1" "1" "69" "2"
"1" "1" "1" "6" "3"
"2" "1" "1" "37" "11"
"2" "1" "1" "46" "2"
"1" "1" "1" "49" "12"
"1" "1" "1" "45" "2"
"1" "1" "1" "6" "12"
"1" "1" "1" "56" "3"
"2" "2" "1" "39" "2"
"1" "4" "1" "16" "3"
"2" "2" "1" "33" "3"
"1" "1" "1" "68" "12"
"1" "1" "1" "2" "4"
"2" "1" "1" "5" "3"
"1" "1" "1" "5" "3"
"2" "1" "1" "57" "2"
"1" "1" "1" "73" "2"
"1" "2" "1" "3" "3"
"1" "1" "1" "81" "9"
"1" "1" "1" "54" "2"
"1" "1" "1" "21" "3"
"1" "1" "1" "25" "2"
"2" "1" "1" "61" "2"
"1" "6" "1" "16" "2"
"2" "6" "1" "42" "10"
"2" "6" "1" "70" "2"
"1" "6" "1" "59" "3"
"1" "6" "1" "1" "3"
"1" "1" "1" "20" "2"
"2" "7" "5" "26" "12"
"1" "6" "1" "58" "2"
"1" "6" "1" "43" "7"
"2" "1" "1" "63" "2"
"1" "1" "1" "22" "2"
"1" "1" "1" "29" "3"
"1" "1" "1" "22" "3"
"2" "8" "1" "27" "3"
"1" "8" "1" "30" "4"
"2" "1" "1" "55" "2"
"1" "1" "1" "90" "12"
"2" "1" "1" "32" "12"
"1" "2" "1" "66" "2"
"2" "1" "1" "45" "2"
"1" "1" "1" "16" "12"
"1" "1" "1" "22" "12"
"1" "1" "1" "14" "8"
"1" "1" "1" "66" "2"
"1" "1" "1" "7" "3"
"2" "1" "1" "37" "3"
"2" "1" "1" "81" "2"
"2" "1" "1" "67" "2"
"1" "1" "1" "48" "2"
"1" "1" "1" "9" "3"
"2" "7" "2" "26" "13"
"2" "1" "1" "26" "2"
"2" "1" "1" "91" "2"
"1" "1" "1" "19" "12"
"2" "1" "1" "60" "3"
"2" "1" "1" "10" "3"
"2" "1" "4" "22" "3"
"1" "1" "1" "29" "2"
"2" "1" "1" "50" "2"
"2" "1" "1" "20" "5"
"2" "1" "1" "88" "2"
"1" "8" "1" "10" "3"
"2" "1" "1" "23" "3"
"2" "1" "1" "45" "3"
"1" "1" "1" "2" "3"
"1" "1" "1" "20" "3"
"2" "1" "1" "83" "2"
"1" "1" "1" "45" "2"
"1" "1" "1" "15" "3"
"2" "1" "1" "64" "2"
"2" "1" "1" "47" "2"
"1" "1" "1" "1" "3"
"2" "1" "1" "6" "3"
"2" "1" "1" "67" "2"
"2" "1" "1" "23" "2"
"1" "1" "1" "9" "3"
"1" "1" "1" "15" "3"
"1" "1" "1" "57" "10"
"2" "8" "2" "48" "7"
"1" "1" "1" "20" "3"
"1" "1" "1" "14" "3"
"1" "1" "1" "7" "3"
